,Hypernym,Hyponym,Frequency,word1,word2,relation,label
0,home appliance,mobile robot,15,home appliance,mobile robot,rhyper,-1
1,computer network,the Internet,10,the Internet,computer network,hyper,1
2,artificial intelligence,Deep learning,6,artificial intelligence,Deep learning,rhyper,-1
3,electronic device,electronic component,4,electronic device,electronic component,rhyper,-1
4,storage device,hard disk,4,storage device,hard disk,rhyper,-1
5,communication network,the Internet,4,communication network,the Internet,rhyper,-1
6,point light source,light source,4,point light source,light source,rhyper,-1
7,the environment,foot traffic,3,foot traffic,the environment,hyper,1
8,storage media,hard drives,3,hard drives,storage media,hyper,1
9,laser projector,display device,3,display device,laser projector,hyper,1
10,semiconductor memory,flash memory,3,semiconductor memory,flash memory,rhyper,-1
11,storage medium,hard disk,3,storage medium,hard disk,rhyper,-1
12,storage medium,magnetic disk,3,storage medium,magnetic disk,rhyper,-1
13,machine learning,deep learning,3,deep learning,machine learning,hyper,1
14,electronic devices,mobile phone,3,electronic devices,mobile phone,rhyper,-1
15,machine learning,artificial intelligence,3,machine learning,artificial intelligence,rhyper,-1
16,test pattern,test pattern,3,test pattern,test pattern,rhyper,-1
17,deep learning,Convolutional Neural Network,3,Convolutional Neural Network,deep learning,hyper,1
18,optical system,optical system,3,optical system,optical system,hyper,1
19,environmental conditions,carbon dioxide,2,environmental conditions,carbon dioxide,rhyper,-1
20,flexible display,display device,2,flexible display,display device,rhyper,-1
21,storage medium,non-volatile memory,2,non-volatile memory,storage medium,hyper,1
22,storage medium,optical disk,2,storage medium,optical disk,rhyper,-1
23,storage device,main memory,2,storage device,main memory,rhyper,-1
24,storage device,input device,2,input device,storage device,hyper,1
25,inclination angle,inclination angle,2,inclination angle,inclination angle,rhyper,-1
26,convolutional neural network,neural network,2,neural network,convolutional neural network,hyper,1
27,non-volatile RAM,read-only memory,2,read-only memory,non-volatile RAM,hyper,1
28,moving images,digital camcorder,2,moving images,digital camcorder,rhyper,-1
29,wireless communication,inter-vehicle communication,2,inter-vehicle communication,wireless communication,hyper,1
30,electromagnetic waves,millimeter waves,2,electromagnetic waves,millimeter waves,rhyper,-1
31,moving images,digital camera,2,digital camera,moving images,hyper,1
32,machine learning method,logistic regression,2,machine learning method,logistic regression,rhyper,-1
33,storage device,wireless communication,2,wireless communication,storage device,hyper,1
34,wireless communication,wireless LAN,2,wireless LAN,wireless communication,hyper,1
35,storage medium,computer readable,2,storage medium,computer readable,rhyper,-1
36,stochastic gradient descent,optimization algorithm,2,optimization algorithm,stochastic gradient descent,hyper,1
37,brain waves,blood flow,2,blood flow,brain waves,hyper,1
38,brain waves,pulse rate,2,pulse rate,brain waves,hyper,1
39,magnetic media,hard disks,2,hard disks,magnetic media,hyper,1
40,mobile device,mobile phone,2,mobile phone,mobile device,hyper,1
41,neural network,convolutional neural network,2,neural network,convolutional neural network,rhyper,-1
42,digital image,the computer,2,digital image,the computer,rhyper,-1
43,storage medium,semiconductor memory,2,semiconductor memory,storage medium,hyper,1
44,mass memory device,hard drive,2,hard drive,mass memory device,hyper,1
45,geographical location data,longitude and latitude,2,geographical location data,longitude and latitude,rhyper,-1
46,main memory,volatile memory,2,volatile memory,main memory,hyper,1
47,a vehicle,laptop computer,1,laptop computer,a vehicle,hyper,1
48,surgical device,surgical instrument,1,surgical instrument,surgical device,hyper,1
49,optical disc drive,compact disc,1,compact disc,optical disc drive,hyper,1
50,wide-angle lens,fisheye lens,1,fisheye lens,wide-angle lens,hyper,1
51,non-volatile memory,magnetic storage,1,magnetic storage,non-volatile memory,hyper,1
52,state estimation,brain wave,1,state estimation,brain wave,rhyper,-1
53,volatile memory,random-access memory,1,random-access memory,volatile memory,hyper,1
54,storage medium,Electrically Erasable and Programmable ROM,1,storage medium,Electrically Erasable and Programmable ROM,rhyper,-1
55,visible light spectrum,near-infrared light,1,near-infrared light,visible light spectrum,hyper,1
56,storage medium,flexible disk,1,storage medium,flexible disk,rhyper,-1
57,electronic pen,the height,1,the height,electronic pen,hyper,1
58,display device,augmented reality,1,augmented reality,display device,hyper,1
59,mobile phone,mobile device,1,mobile device,mobile phone,hyper,1
60,contact image sensor,optical sensor,1,optical sensor,contact image sensor,hyper,1
61,Convolutional neural network,neural network,1,neural network,Convolutional neural network,hyper,1
62,load sensor,load sensor,1,load sensor,load sensor,rhyper,-1
63,storage media,flash memory,1,storage media,flash memory,rhyper,-1
64,active identifier,radio frequency identification,1,radio frequency identification,active identifier,hyper,1
65,remote system,the service,1,remote system,the service,rhyper,-1
66,Computer components,web services,1,Computer components,web services,rhyper,-1
67,label printer,optical system,1,label printer,optical system,rhyper,-1
68,mobile device,tablet computer,1,mobile device,tablet computer,rhyper,-1
69,computing device,smart phone,1,smart phone,computing device,hyper,1
70,reference table,effective aperture,1,effective aperture,reference table,hyper,1
71,print media,print media,1,print media,print media,hyper,1
72,color schemes,color scheme,1,color scheme,color schemes,hyper,1
