,word1,word2,relation,label,text
0,wireless communication,wireless LAN,rhyper,-1,"104 denotes a wireless communication unit configured to perform a wireless communication such as a wireless LAN in conformity to the IEEE 802.11 series. A wireless communication unit 104 is constituted by a chip that performs a wireless communication. The wireless communication includes a short-range wireless communication such as, for example, Near Field Communication (registered trademark) (which will be hereinafter denoted as NFC). 105 denotes a display unit that performs various displays and has a function enabling output of information, which can be visually recognized by the user, such as an LCD or an LED, or sound output such as a speaker. The display unit 105 is provided with a function for outputting at least one of the visual information or the sound information. Display of the QR code is also executed by the display unit 105. With regard to the QR code, in addition to the display through the display unit 105, the QR code may be affixed to a casing of the communication device in the form of a sticker or the like, or may also be affixed to an instruction manual or a package such as cardboard at the time of sale of the communication device. 106 denotes a wireless LAN antenna control unit, and 107 denotes a wireless LAN antenna. 108 denotes an operation unit for the user to perform various inputs and the like and operate the communication device. 109 denotes an imaging unit functioning as reading means by capturing the QR code or the like."
1,wireless communication,wireless LAN,rhyper,-1,"204 denotes a wireless communication unit configured to perform a wireless communication such as a wireless LAN in conformity to the IEEE 802.11 series. The wireless communication unit 204 is constituted by a chip that performs a wireless communication. The wireless communication includes a short-range wireless communication such as, for example, NFC. 205 denotes a display unit that performs various displays and has a function enabling output of information, which can be visually recognized by the user, such as an LCD or an LED, or sound output such as a speaker. The display unit 205 is provided with a function for outputting at least one of the visual information or the sound information. Display of the QR code is also executed by the display unit 205. With regard to the QR code, in addition to the display through the display unit 205, the QR code may be affixed to a casing of the communication device in the form of a sticker or the like or may also be affixed to an instruction manual or a package such as cardboard at the time of sale of the communication device. 206 denotes a wireless LAN antenna control unit, and 207 denotes a wireless LAN antenna. 208 denotes an operation unit for the user to perform various inputs and the like and operate the communication device. It should be noted that the configuration illustrated in Fig. 1 is an example, and the communication device may also include another hardware configuration. For example, in a case where the communication device is a printer, the communication device may also include a printing unit in addition to the configuration illustrated in Fig. 1. In addition, in a case where the communication device is a camera, the communication device may also include a capturing unit."
2,semiconductor memory,random access,rhyper,-1,"In the case where the processing circuit 1801 corresponds to the CPU 1804, the function of each of the to-be-classified data generating unit 11, the division candidate selecting unit 12, the connection density calculating unit 13, and the classifying unit 14 are implemented by software, firmware, or a combination of software and firmware. That is, the to-be-classified data generating unit 11, the division candidate selecting unit 12, the connection density calculating unit 13, and the classifying unit 14 are implemented by a processing circuit such as the CPU 1804, a system large scale integration (LSI) that execute programs stored in a hard disk drive (HDD) 1802, the memory 1803, and the like. It is also said that programs stored in the HDD 1802, the memory 1803, and the like causes a computer to execute the procedures and methods of the to-be-classified data generating unit 11, the division candidate selecting unit 12, the connection density calculating unit 13, and the classifying unit 14. Here, the memory 1803 may be a nonvolatile or volatile semiconductor memory such as a random access memory (RAM), a read only memory (ROM), a flash memory, an erasable programmable read only memory (EPROM), or an electrically erasable programmable read only memory (EEPROM), a magnetic disc, a flexible disc, an optical disc, a compact disc, a mini disc, a digital versatile disk (DVD), or the like."
3,visible light,ultraviolet light,rhyper,-1,"Fig. 1 shows the driver monitoring system 1. The driver monitoring system 1 comprises the camera 10, the mirror device 20 and the control unit 30. Further, an instrument cluster 3, on which the mirror device 20 is located, is shown. The face of the driver 2 is located in front of the instrument cluster 3, wherein the mirror device 20 is located between the face of the driver 2 and the instrument cluster 3. The light beam 16 or the image is represented by the dotted lines from the camera 10 over the mirror device 20 to the face of the driver 2. Further, it is shown that the camera 10 faces not directly the face of the driver 2. In contrast, the camera 10 captures a reflected image by the mirror device 20 of the face of the driver 2. In other words, the camera 10 is virtually positioned at the position of the mirror device 20. The mirror device 20 may be a micro mirror foil, which is transparent for visible light and reflective for non-visible light, such as infrared light or ultraviolet light. Thus, the driver 2 is still capable of seeing the instruments of the instrument cluster 3, while the camera 10 captures an image, reflected by the mirror device 20, of the face of the driver 2. The image captured by the camera 10 may be an infrared or ultraviolet light image. Further, the camera 10 may be positioned at an arbitrary position in/on the instrument cluster 3, since the mirror device 20 can be adapted to each arbitrary position of the camera 10, such that the camera 10 is virtually positioned at the centre of the instrument cluster 3 directly facing the driver 2. The mirror device 20 may comprise a plurality of mirror elements, which are aligned according to the particular use case."
4,visible light,infrared light,rhyper,-1,"Fig. 1 shows the driver monitoring system 1. The driver monitoring system 1 comprises the camera 10, the mirror device 20 and the control unit 30. Further, an instrument cluster 3, on which the mirror device 20 is located, is shown. The face of the driver 2 is located in front of the instrument cluster 3, wherein the mirror device 20 is located between the face of the driver 2 and the instrument cluster 3. The light beam 16 or the image is represented by the dotted lines from the camera 10 over the mirror device 20 to the face of the driver 2. Further, it is shown that the camera 10 faces not directly the face of the driver 2. In contrast, the camera 10 captures a reflected image by the mirror device 20 of the face of the driver 2. In other words, the camera 10 is virtually positioned at the position of the mirror device 20. The mirror device 20 may be a micro mirror foil, which is transparent for visible light and reflective for non-visible light, such as infrared light or ultraviolet light. Thus, the driver 2 is still capable of seeing the instruments of the instrument cluster 3, while the camera 10 captures an image, reflected by the mirror device 20, of the face of the driver 2. The image captured by the camera 10 may be an infrared or ultraviolet light image. Further, the camera 10 may be positioned at an arbitrary position in/on the instrument cluster 3, since the mirror device 20 can be adapted to each arbitrary position of the camera 10, such that the camera 10 is virtually positioned at the centre of the instrument cluster 3 directly facing the driver 2. The mirror device 20 may comprise a plurality of mirror elements, which are aligned according to the particular use case."
5,mobile device,mobile phone,rhyper,-1,"ID devices 120 may be physical, like a chipcard, or virtual, such as a software application on a mobile device. In combination with interaction technology such as NFC or Bluetooth, a mobile device, such as mobile phone, can be used as a virtual ID device 120 to initiate contactless ID transactions 100 and to interact with merchant POI terminals 110. Such applications include Apple Pay, Android Pay, X Pay and Samsung Pay. These standardized data interactions are very limited - the ID device 120 limits itself to operation as a chipcard to ensure the largest degree of interoperability."
6,telecommunication network,the internet,rhyper,-1,"In an embodiment, the memory 13 can be part of the processing unit 10. In an alternative embodiment, the memory can be separate from the processing unit 10 and located at a distance thereof. The memory can in that case be accessed by the processing unit by wireless connection. In that case, the processing unit 10 preferably comprises a communication interface for remote connection to the memory 13 through a telecommunication network such as the internet."
7,reflective glass,one-way mirror,rhyper,-1,"The picture input device 12 is preferably a camera installed in a photo studio installed in the shop or beauty salon, and configured for taking pictures in controlled conditions. The photo studio may comprise a screen or background of neutral color (white, grey), at least one lamp such as a softbox, and the camera at a fixed location relative to the screen or background. The camera may be hidden behind a reflective glass such as a one-way mirror for a better integration in the shop or beauty salon."
8,the system,digital camera,hyper,1,"In an alternative embodiment, the camera of the system is a digital camera of a mobile phone, tablet or smartphone, with which a user can take a picture of himself/herself. The picture is then transferred to the processing unit 10 for further processing."
9,mass memory device,hard drive,rhyper,-1,"The client computer of the example comprises a central processing unit (CPU) 1010 connected to an internal communication BUS 1000, a random access memory (RAM) 1070 also connected to the BUS. The client computer is further provided with a graphical processing unit (GPU) 1110 which is associated with a video random access memory 1100 connected to the BUS. Video RAM 1100 is also known in the art as frame buffer. A mass storage device controller 1020 manages accesses to a mass memory device, such as hard drive 1030. Mass memory devices suitable for tangibly embodying computer program instructions and data include all forms of nonvolatile memory, including by way of example semiconductor memory devices, such as EPROM, EEPROM, and flash memory devices; magnetic disks such as internal hard disks and removable disks; magneto-optical disks; and CD-ROM disks 1040. Any of the foregoing may be supplemented by, or incorporated in, specially designed ASICs (application-specific integrated circuits). A network adapter 1050 manages accesses to a network 1060. The client computer may also include a haptic device 1090 such as cursor control device, a keyboard or the like. A cursor control device is used in the client computer to permit the user to selectively position a cursor at any desired location on display 1080. In addition, the cursor control device allows the user to select various commands, and input control signals. The cursor control device includes a number of signal generation devices for input control signals to system. Typically, a cursor control device may be a mouse, the button of the mouse being used to generate the signals. Alternatively or additionally, the client computer system may comprise a sensitive pad, and/or a sensitive screen."
