,word1,word2,relation,label,text
0,image processing,white balance,rhyper,-1,"The development processing unit 102 performs predetermined pixel interpolation or color conversion processing on the digital signal output from the imaging sensor unit 101, and generates digital video image data of, for example, R (red), G (green), B (blue), or Y (brightness), and UV (color difference). Further, the development processing unit 102 performs predetermined arithmetic processing using the digital video image data subjected to development processing, and performs image processing such as white balance, sharpness, contrast, and color conversion based on the obtained arithmetic processing result. Captured image data on which the image processing has been performed by the development processing unit 102 is sent, as input image data, to the moving object detection unit 103, the human body detection unit 104, the background image updating unit 106, and the like."
1,light source,light emitting diode,rhyper,-1,"In the shown example, the diffusing lighting device 30 is configured by an approximately semispherical reflector 30a of which an inner face is a diffusion reflecting surface, and a light source disposed in the reflector 30a. The light source may employ a known light source such as a light emitting diode (LED) or a halogen lamp."
2,wireless network,WI-FI network,rhyper,-1,"In particular embodiments, communication interface 810 includes hardware, software, or both providing one or more interfaces for communication (such as, for example, packet-based communication) between computer system 800 and one or more other computer systems 800 or one or more networks. As an example and not by way of limitation, communication interface 810 may include a network interface controller (NIC) or network adapter for communicating with an Ethernet or other wire-based network or a wireless NIC (WNIC) or wireless adapter for communicating with a wireless network, such as a WI-FI network. This disclosure contemplates any suitable network and any suitable communication interface 810 for it. As an example and not by way of limitation, computer system 800 may communicate with an ad hoc network, a personal area network (PAN), a local area network (LAN), a wide area network (WAN), a metropolitan area network (MAN), or one or more portions of the Internet or a combination of two or more of these. One or more portions of one or more of these networks may be wired or wireless. As an example, computer system 800 may communicate with a wireless PAN (WPAN) (such as, for example, a BLUETOOTH WPAN), a WI-FI network, a WI-MAX network, a cellular telephone network (such as, for example, a Global System for Mobile Communications (GSM) network), or other suitable wireless network or a combination of two or more of these. Computer system 800 may include any suitable communication interface 810 for any of these networks, where appropriate. Communication interface 810 may include one or more communication interfaces 810, where appropriate. Although this disclosure describes and illustrates a particular communication interface, this disclosure contemplates any suitable communication interface."
3,computer network,the Internet,rhyper,-1,"A plurality of components in the device 900 are coupled to the I/O interface 905, including: an input unit 906, such as a keyboard or a mouse; an output unit 907, such as various types of displays, or speakers; the storage unit 908, such as a disk or an optical disk; and a communication unit 909 such as a network card, a modem, or a wireless communication transceiver. The communication unit 909 allows the device 900 to exchange information/data with other devices over a computer network such as the Internet and/or various telecommunication networks."
4,a vehicle,passenger car,rhyper,-1,"In the present embodiment set forth below, the invention will be described using, as an example, a case where the authentication device 10 is installed in a vehicle such as a passenger car and an operation of the vehicle is provided as a service. In addition to the vehicle described in the present embodiment, the authentication device 10 according to the present embodiment can be installed at various places where a biometric authentication process is required for providing a service such as permitting entry or exit into or from a predetermined area such as a building and a room, and permitting withdrawal or deposit of money of an automated teller machine (ATM) and the like."
5,imaging technique,intravascular ultrasound imaging,rhyper,-1,"Systems and methods of the invention include image-processing techniques that provide automatic detection of objects, such as stents, within intraluminal images. Typically, the OCT intraluminal image is an intravascular image taken within a lumen of a blood vessel, but the detection methods described herein can be used to detect objects within other biological lumens, such as the intestine. Although the following description is directed towards detecting objects in OCT images, one skilled in the art would readily recognize that methods and systems of intention can be utilized to detect objects in any intraluminal images obtained from any other imaging technique, such as intravascular ultrasound imaging (IVUS) and combined OCT-IVUS."
6,electronic equipment,tablet computer,rhyper,-1,"Fig. 1 is a schematic flow chart showing a pressure determination method, according to an exemplary embodiment. The embodiment may be applied to a fingerprint recognition module, and the fingerprint recognition module may be configured in electronic equipment such as a mobile phone and a tablet computer. As shown in Fig. 1, the pressure determination method includes the following steps."
7,electronic equipment,mobile phone,rhyper,-1,"Fig. 1 is a schematic flow chart showing a pressure determination method, according to an exemplary embodiment. The embodiment may be applied to a fingerprint recognition module, and the fingerprint recognition module may be configured in electronic equipment such as a mobile phone and a tablet computer. As shown in Fig. 1, the pressure determination method includes the following steps."
8,recording medium,semiconductor memory,rhyper,-1,"Moreover, in the above embodiments, the structural components may be implemented as dedicated hardware or may be realized by executing a software program suited to such structural components. Alternatively, the structural components may be implemented by a program executor such as a CPU or a processor reading out and executing the software program recorded in a recording medium such as a hard disk or a semiconductor memory."
9,recording medium,hard disk,rhyper,-1,"Moreover, in the above embodiments, the structural components may be implemented as dedicated hardware or may be realized by executing a software program suited to such structural components. Alternatively, the structural components may be implemented by a program executor such as a CPU or a processor reading out and executing the software program recorded in a recording medium such as a hard disk or a semiconductor memory."
10,neural network,information processing model,hyper,1,"In this embodiment, the recognition model construction unit 104 uses a neural network in a learning model of the recognition model. For example, referring to Fig. 3, one example of a model of a neural network is illustrated. A neural network is an information processing model that uses the cranial nervous system as a model. The neural network is configured with plural node layers that include an input layer and an output layer. The node layer includes one or more nodes. Model information of the neural network indicates the number of node layers that configure the neural network, the number of nodes included in each of the node layers, and a type of the whole neural network or each of the node layers. For example, in a case where the neural network is configured with the input layer, one or more intermediate layers, and the output layer, with respect to information input to a node of the input layer, the neural network sequentially performs an output process from the input layer to the intermediate layer, a process in the intermediate layer, an output process from the intermediate layer to the next intermediate layer or to the output layer, a process in the output layer, and so forth and thereby outputs an output result that conforms to input information. Note that each node of one layer is connected with each node in the next layer, and the connection between the nodes is weighted. The weight to the connection between the nodes is added to information of the node of one layer, and the information is then output to the node of the next layer. The number of nodes of each of the input layer, the intermediate layers, and the output layer may variously be set."
11,3D applications,augmented reality,rhyper,-1,"The disclosed method simplifies the configuration of Points of interest for 3D applications, such as an augmented reality device. As e.g. only X,Y coordinates need to be associated with a 2D image."
12,electric vehicle,electric motor,rhyper,-1,"A vehicle as described in this specification may include all of an internal combustion engine vehicle including an engine as a power source, a hybrid vehicle including both an engine and an electric motor as a power source, and an electric vehicle including an electric motor as a power source."
13,electronic product,tablet personal computer,rhyper,-1,"Referring to FIG. 1, the electronic device 10 of the present embodiment at least includes a processor 110 and a storage unit 120, where the processor 110 is coupled to the storage unit 120. Moreover, in an embodiment, the electronic device 10 further includes an image capturing unit 130, and the processor 110 is coupled to the image capturing unit 130. The electronic device 10 of the present embodiment may be disposed on a mirror of a dressing table, and while the user looks at the mirror, the electronic device 10 may capture and analyze a face image of the user, and provide feedback information (for example, a face similarity evaluation result) by using a display (not shown) disposed behind the mirror. It should be noted that in other embodiments, the electronic device 10 may be an electronic product such as a smart phone, a tablet personal computer (PC), a desktop PC, etc., or a portable mirror box combined with a portable mirror."
14,electronic product,smart phone,rhyper,-1,"Referring to FIG. 1, the electronic device 10 of the present embodiment at least includes a processor 110 and a storage unit 120, where the processor 110 is coupled to the storage unit 120. Moreover, in an embodiment, the electronic device 10 further includes an image capturing unit 130, and the processor 110 is coupled to the image capturing unit 130. The electronic device 10 of the present embodiment may be disposed on a mirror of a dressing table, and while the user looks at the mirror, the electronic device 10 may capture and analyze a face image of the user, and provide feedback information (for example, a face similarity evaluation result) by using a display (not shown) disposed behind the mirror. It should be noted that in other embodiments, the electronic device 10 may be an electronic product such as a smart phone, a tablet personal computer (PC), a desktop PC, etc., or a portable mirror box combined with a portable mirror."
15,programming languages,object oriented programming language,rhyper,-1,"Computer readable program instructions for carrying out operations of the present invention may be assembler instructions, instruction-set-architecture (ISA) instructions, machine instructions, machine dependent instructions, microcode, firmware instructions, state-setting data, or either source code or object code written in any combination of one or more programming languages, including an object oriented programming language such as Smalltalk, C++ or the like, and conventional procedural programming languages, such as the ""C"" programming language or similar programming languages. The computer readable program instructions may execute entirely on the user's computer, partly on the user's computer, as a stand-alone software package, partly on the user's computer and partly on a remote computer or entirely on the remote computer or server. In the latter scenario, the remote computer may be connected to the user's computer through any type of network, including a local area network (LAN) or a wide area network (WAN), or the connection may be made to an external computer (for example, through the Internet using an Internet Service Provider). In some embodiments, electronic circuitry including, for example, programmable logic circuitry, field-programmable gate arrays (FPGA), or programmable logic arrays (PLA) may execute the computer readable program instructions by utilizing state information of the computer readable program instructions to personalize the electronic circuitry, in order to perform aspects of the present invention."
